german,english,difficulty_level,vocabulary_words
Ich bin Lucas.,I am Lucas.,A1,ich
Du bist nett.,You are nice.,A1,du
Er ist groß.,He is tall.,A1,er
Ich habe einen Hund.,I have a dog.,A1,haben;Hund
Die Katze ist klein.,The cat is small.,A1,Katze;klein
Das Haus ist neu.,The house is new.,A1,Haus;neu
Wir trinken Wasser.,We drink water.,A1,wir;Wasser
Ich esse Brot.,I eat bread.,A1,essen;Brot
Das Kind spielt.,The child is playing.,A1,Kind;spielen
Der Mann kommt.,The man is coming.,A1,Mann;kommen
Die Frau liest ein Buch.,The woman reads a book.,A1,Frau;Buch;lesen
Das Auto ist alt.,The car is old.,A1,Auto;alt
Ja das ist gut.,Yes that is good.,A1,ja;gut
Ich sage nein.,I say no.,A1,sagen;nein
Er macht das nicht.,He doesn't do that.,A1,machen;nicht
Ich gehe nach Hause.,I go home.,A1,gehen;Haus
Wasser ist wichtig.,Water is important.,A1,Wasser
Das Kind trinkt Milch.,The child drinks milk.,A1,Kind;Milch;trinken
Kommst du mit?,Are you coming along?,A1,kommen;mit
Das ist gut und neu.,That is good and new.,A1,gut;neu;und
Ich kaufe ein Buch.,I buy a book.,A2,kaufen;Buch
Er lernt Deutsch.,He is learning German.,A2,lernen
Sie wohnt in der Stadt.,She lives in the city.,A2,wohnen;Stadt
Wir fahren schnell.,We drive fast.,A2,fahren;schnell
Das Buch ist teuer.,The book is expensive.,A2,Buch;teuer
Ich habe keine Zeit.,I have no time.,A2,Zeit;haben
Er schreibt einen Brief.,He writes a letter.,A2,schreiben
Weil sie müde ist geht sie schlafen.,Because she is tired she goes to sleep.,A2,weil
Ich weiß dass er kommt.,I know that he is coming.,A2,dass
Wenn ich Geld habe kaufe ich das.,When I have money I'll buy it.,A2,wenn;Geld;kaufen
Der Tisch ist aus Holz.,The table is made of wood.,A2,Tisch
Sie spielt gern Fußball.,She likes playing football.,A2,spielen
Er kann sehr schnell lesen.,He can read very fast.,A2,lesen;können;schnell
Ich muss jetzt arbeiten.,I have to work now.,A2,Arbeit;müssen
Das Fenster ist offen.,The window is open.,A2,Fenster
Die Schule beginnt um acht.,School starts at eight.,A2,Schule
Er fährt mit dem Auto in die Stadt.,He drives to the city by car.,A2,fahren;Auto;Stadt
Sie erklärt das Problem genau.,She explains the problem precisely.,B1,erklären
Ich versuche die Aufgabe zu lösen.,I try to solve the task.,B1,versuchen
Die Entwicklung geht schnell.,The development is fast.,B1,Entwicklung;schnell
Es ist wichtig Verantwortung zu übernehmen.,It is important to take responsibility.,B1,wichtig;Verantwortung
Obwohl es regnet gehen wir spazieren.,Although it rains we go for a walk.,B1,obwohl
Ich habe viel Erfahrung damit.,I have a lot of experience with that.,B1,Erfahrung
Die Möglichkeit besteht nicht.,The possibility does not exist.,B1,Möglichkeit
Er hat sich schließlich entschieden.,He finally made a decision.,B1,entscheiden
Kannst du das beschreiben?,Can you describe that?,B1,beschreiben
Was bedeutet dieses Wort?,What does this word mean?,B1,bedeuten
Das Ziel ist es etwas zu erreichen.,The goal is to achieve something.,B1,erreichen
Die Auswirkungen sind erheblich.,The effects are considerable.,B2,Auswirkung;erheblich
Allerdings gibt es Probleme dabei.,However there are problems with that.,B2,allerdings
Wir müssen alle Aspekte berücksichtigen.,We must take all aspects into account.,B2,berücksichtigen
Die Maßnahme soll Qualität gewährleisten.,The measure is intended to ensure quality.,B2,gewährleisten
Der Zusammenhang ist grundlegend wichtig.,The context is fundamentally important.,B2,Zusammenhang;grundlegend
Hingegen zeigt die Studie anderes.,On the other hand the study shows otherwise.,B2,hingegen
